name,company,year,Price,kms_driven,fuel_type
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,450000,15141,Petrol
Maruti Suzuki Zen LXi BSII,Maruti,2001,40000,40000,Petrol
Mahindra Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,165000,65000,Diesel
Maruti Suzuki Alto K10 VXi,Maruti,2014,270000,22000,Petrol
Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,280000,59910,Diesel
Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2016,950000,25000,Petrol
Hyundai i20 Magna O 1.2,Hyundai,2013,310000,35000,Petrol
Renault Duster 85 PS RxL Explore LE,Renault,2015,715000,65000,Diesel
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000,35000,Petrol
Honda Brio V MT,Honda,2012,235000,33000,Petrol
Mahindra TUV300 T4 Plus,Mahindra,2017,610000,68000,Diesel
Chevrolet Spark LS 1.0,Chevrolet,2010,95000,23000,Petrol
Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2015,220000,129000,Diesel
Nissan X Trail Select Variant,Nissan,2019,1200000,300,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,230000,5000,Petrol
Ford Ikon 1.3 CLXi NXt Finesse,Ford,2001,45000,65000,Petrol
Toyota Fortuner 3.0 4x4 MT,Toyota,2010,940000,131000,Diesel
Tata Manza ELAN Quadrajet,Tata,2010,155555,111111,Petrol
Mercedes Benz A Class A 180 Sport Petrol,Mercedes,2013,1500000,14000,Petrol
Chevrolet Beat LS Diesel,Chevrolet,2016,210000,22000,Diesel
Ford EcoSport Trend 1.5L TDCi,Ford,2013,495000,38000,Diesel
Tata Indigo LS,Tata,2016,125000,70000,Diesel
Hyundai i20 Magna 1.2,Hyundai,2010,195000,36000,Petrol
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015,550000,34000,Diesel
Renault Kwid RXT,Renault,2015,270000,43000,Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,500000,40000,Diesel
Honda Amaze 1.5 E i DTEC,Honda,2016,240000,160000,Diesel
Hyundai Verna 1.6 EX VTVT,Hyundai,2017,800000,12000,Petrol
BMW 5 Series 520d Sedan,BMW,2011,1299000,49000,Diesel
Skoda Superb 1.8 TFSI AT,Skoda,2011,530000,68000,Petrol
Audi Q3 2.0 TDI quattro Premium,Audi,2013,1499000,37000,Diesel
Mahindra Bolero DI BSII,Mahindra,2012,220000,59466,Diesel
Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
Ford Figo Duratorq Diesel Titanium 1.4,Ford,2012,250000,99000,Diesel
Maruti Suzuki Wagon R VXI BS IV,Maruti,2018,395000,25500,Petrol
Mahindra Logan Diesel 1.5 DLS,Mahindra,2009,130000,66000,Petrol
Tata Nano GenX XMA,Tata,2010,32000,44005,Petrol
Mahindra TUV300 T4 Plus,Mahindra,2016,540000,35000,Diesel
Mahindra TUV300 T4 Plus,Mahindra,2016,540000,35000,Diesel
Hyundai Elite i20 Magna 1.2,Hyundai,2015,405000,28000,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2015,400000,30000,Petrol
Honda City SV,Honda,2017,760000,4000,Petrol
Maruti Suzuki Baleno Delta 1.2,Maruti,2016,500000,28000,Petrol
Ford Figo Petrol LXI,Ford,2011,175000,75000,Petrol
Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
Honda City,Honda,2017,750000,3000,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2015,419000,20000,Petrol
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,90000,50000,Petrol
Hyundai Eon Era Plus,Hyundai,2018,140000,2110,Petrol
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1540000,43222,Petrol
Hyundai i10 Magna 1.2 Kappa2,Hyundai,2008,275000,100200,Petrol
Toyota Corolla H2,Toyota,2003,150000,100000,Petrol
Maruti Suzuki Swift Dzire Tour VXi,Maruti,2011,230000,65,Petrol
Tata Indigo CS eLS BS IV,Tata,2015,123000,100000,Diesel
Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
Hyundai Xcent Base 1.1 CRDi,Hyundai,2016,300000,140000,Diesel
Honda City,Honda,2015,499999,55000,Petrol
Hyundai Accent Executive Edition,Hyundai,2009,165000,48000,Petrol
Maruti Suzuki Baleno Delta 1.2,Maruti,2016,498000,22000,Petrol
Tata Zest XE 75 PS Diesel,Tata,2018,480000,103553,Diesel
Maruti Suzuki Dzire LDI,Maruti,2017,488000,80000,Diesel
Tata Sumo Gold LX BS IV,Tata,2014,250000,99000,Diesel
Toyota Corolla Altis GL Petrol,Toyota,2010,220000,58000,Petrol
Maruti Suzuki Eeco 7 STR,Maruti,2013,290000,70000,LPG
Toyota Fortuner 3.0 4x2 MT,Toyota,2015,1525000,120000,Diesel
Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel
Tata Tigor Revotron XZ,Tata,2019,650000,100,Diesel
Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol
Maruti Suzuki Ertiga Vxi,Maruti,2015,550000,75000,Petrol
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,90000,50000,Petrol
Honda Mobilio S i DTEC,Honda,2014,399000,44000,Diesel
Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
Maruti Suzuki Vitara Brezza,Maruti,2017,725000,36000,Diesel
Hyundai Verna 1.6 CRDI E,Hyundai,2016,195000,56000,Diesel
Maruti Suzuki Swift VXI BSIII,Maruti,2007,130000,62000,Petrol
Toyota Fortuner 3.0 4x2 MT,Toyota,2015,1525000,120000,Diesel
Maruti Suzuki Omni Select Variant,Maruti,2014,190000,6020,Petrol
Honda Amaze,Honda,2013,250000,55700,Diesel
Tata Indica,Tata,2005,80000,42000,Petrol
Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol
Maruti Suzuki Zen Estilo,Maruti,2010,149000,35000,Petrol
Maruti Suzuki Wagon R LXI BS IV,Maruti,2014,250000,18500,Petrol
Maruti Suzuki Wagon R,Maruti,2007,120000,7000,Petrol
Honda Brio VX AT,Honda,2017,450000,11000,Petrol
Maruti Suzuki Zen LXi BSII,Maruti,2003,99999,53000,Petrol
Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2008,135000,23000,Petrol
Maruti Suzuki Wagon R Select Variant,Maruti,2016,225000,35500,Diesel
Maruti Suzuki Alto LXi BS III,Maruti,2010,99000,22134,Petrol
Renault Kwid RXT,Renault,2019,370000,1000,Petrol
Tata Nano Lx BSIV,Tata,2010,52000,9000,Petrol
Jaguar XE XE Portfolio,Jaguar,2016,2800000,8500,Petrol
Hyundai Eon Magna Plus,Hyundai,2014,190000,35000,Petrol
Honda City 1.5 S MT,Honda,2014,499000,22000,Petrol
Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel
Maruti Suzuki Ritz GENUS VXI,Maruti,2010,149000,40000,Petrol
Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,2017,400000,20000,Petrol
Hyundai Eon D Lite Plus,Hyundai,2016,120000,87000,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2015,250000,55000,Petrol
Maruti Suzuki Wagon R VXI BS IV,Maruti,2017,375000,23000,Petrol
Honda Amaze 1.2 VX i VTEC,Honda,2014,381000,6000,Petrol
Maruti Suzuki Estilo VXi ABS BS IV,Maruti,2013,180000,65000,Petrol
Maruti Suzuki Vitara Brezza LDi O,Maruti,2016,580000,25000,Diesel
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,278000,39000,Petrol
Hyundai Creta 1.6 SX Plus Petrol AT,Hyundai,2016,1000000,8000,Petrol
Mahindra Scorpio Vlx BSIV,Mahindra,2013,690000,75000,Diesel
Maruti Suzuki Ertiga VDi,Maruti,2012,480000,51000,Diesel
Mitsubishi Lancer 1.8 LXi,Mitsubishi,2006,85000,50000,Petrol
Maruti Suzuki Maruti 800 AC,Maruti,2001,40000,75000,Petrol
Maruti Suzuki Alto 800 LXI CNG O,Maruti,2015,90000,55800,Petrol
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2015,340000,53000,Petrol
Hyundai Eon D Lite Plus,Hyundai,2018,260000,25000,Petrol
Ford Fiesta SXi 1.6 ABS,Ford,2009,250000,56400,Petrol
Maruti Suzuki Ritz VDi,Maruti,2010,180000,72160,Diesel
Hyundai Verna Fluidic New,Hyundai,2012,350000,10000,Diesel
Maruti Suzuki Wagon R LXi BS III,Maruti,2006,90001,48000,Petrol
Maruti Suzuki Estilo LX BS IV,Maruti,2007,115000,36000,Petrol
Audi A6 2.0 TDI Premium,Audi,2012,1599000,11500,Diesel
Maruti Suzuki Wagon R LXi BS III,Maruti,2003,130000,133000,Petrol
Maruti Suzuki Wagon R,Maruti,2009,159000,27000,Petrol
Maruti Suzuki Wagon R,Maruti,2009,160000,35000,Petrol
Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol
Maruti Suzuki Baleno Sigma 1.2,Maruti,2016,425000,40000,Petrol
Hyundai Verna 1.6 SX VTVT AT,Hyundai,2019,900000,2000,Petrol
Maruti Suzuki Swift GLAM,Maruti,2009,150000,45000,Petrol
Hyundai Getz Prime 1.3 GVS,Hyundai,2009,110000,20000,Petrol
Hyundai Santro,Hyundai,2000,51999,88000,Petrol
Hyundai Getz Prime 1.3 GLX,Hyundai,2009,115000,20000,Petrol
Chevrolet Beat PS Diesel,Chevrolet,2012,215000,65422,Diesel
Ford EcoSport Trend 1.5 Ti VCT,Ford,2017,580000,10000,Petrol
Maruti Suzuki Dzire ZXI,Maruti,2013,380000,35000,Petrol
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2013,350000,117000,Diesel
Tata Indica V2 DLG,Tata,2005,35000,150000,Diesel
BMW X1 xDrive20d xLine,BMW,2011,1150000,72000,Diesel
Hyundai i20 Asta 1.2,Hyundai,2010,300000,10750,Petrol
Honda City 1.5 V AT,Honda,2009,269000,55000,Petrol
Tata Nano,Tata,2013,60000,6800,Petrol
Chevrolet Cruze LTZ AT,Chevrolet,2014,400000,41000,Diesel
Hyundai Verna Fluidic New,Hyundai,2015,430000,73000,Diesel
Maruti Suzuki Swift Dzire VDi,Maruti,2011,140000,65000,Diesel
Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel
Maruti Suzuki Alto K10 LXi CNG,Maruti,2014,199000,37000,Petrol
Hyundai Accent GLE,Hyundai,2006,90000,55000,Petrol
Force Motors One SUV,Force,2013,550000,140000,Diesel
Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol
Chevrolet Spark 1.0 LT,Chevrolet,2011,100000,27000,Petrol
Hyundai i10,Hyundai,2009,215000,27000,Petrol
Toyota Etios Liva GD,Toyota,2012,380000,20000,Diesel
Renault Duster 85PS Diesel RxL Optional with Nav,Renault,2013,401919,57923,Diesel
Chevrolet Enjoy,Chevrolet,2014,490000,30201,Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2017,280000,6200,Petrol
BMW 5 Series 530i,BMW,2009,650000,37518,Petrol
Toyota Etios Liva G,Toyota,2014,160000,24652,Petrol
Mahindra Jeep MM 550 XDB,Mahindra,2004,424000,383,Diesel
Chevrolet Beat LS Diesel,Chevrolet,2016,225000,95000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2011,350000,35000,Diesel
Jeep Wrangler Unlimited 4x4 Diesel,Jeep,2015,950000,3528,Diesel
Maruti Suzuki Ertiga VDi,Maruti,2013,485000,52500,Diesel
Hyundai Verna VGT CRDi SX ABS,Hyundai,2010,205000,47900,Diesel
Maruti Suzuki Omni,Maruti,2012,160000,14000,Petrol
Maruti Suzuki Celerio VDi,Maruti,2018,310000,37000,Petrol
Tata Zest Quadrajet 1.3,Tata,2017,180000,90000,Diesel
Mahindra XUV500 W6,Mahindra,2013,549900,52800,Diesel
Tata Indigo CS eLX BS IV,Tata,2016,150000,104000,Diesel
Hyundai i10 Era,Hyundai,2011,175000,30000,Petrol
Tata Indigo eCS LX TDI BS III,Tata,2014,95000,195000,Diesel
Tata Indigo LX TDI BS III,Tata,2016,230000,104000,Diesel
Tata Indigo eCS LX CR4 BS IV,Tata,2016,230000,104000,Diesel
Tata Indigo Marina LS,Tata,2004,180000,70000,Diesel
Hyundai Xcent SX 1.2,Hyundai,2015,400000,43000,Diesel
Hyundai Eon Magna Plus,Hyundai,2013,185000,23000,Petrol
Renault Duster 85 PS RxL Diesel,Renault,2015,385000,51000,Diesel
Maruti Suzuki Alto K10 LXi CNG,Maruti,2009,90000,62000,Petrol
Tata Nano LX Special Edition,Tata,2010,32000,48008,Petrol
Renault Duster 110 PS RxZ Diesel,Renault,2013,435000,39000,Diesel
Maruti Suzuki Wagon R AX BSIV,Maruti,2010,225000,40000,Petrol
Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol
Maruti Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2014,365000,23000,Petrol
Maruti Suzuki Alto K10 New,Maruti,2017,360000,9400,Petrol
Hyundai i20 Magna,Hyundai,2010,210000,50000,Petrol
Hyundai i10 Magna 1.2,Hyundai,2009,170000,75000,Petrol
Tata Zest XE 75 PS Diesel,Tata,2017,380000,70000,Diesel
Mahindra Xylo E8,Mahindra,2009,295000,64000,Diesel
Toyota Corolla Altis GL Petrol,Toyota,2010,185000,55000,Petrol
Tata Manza Aqua Quadrajet,Tata,2014,160000,200000,Diesel
Renault Kwid 1.0,Renault,2018,290000,2137,Petrol
Tata Venture EX 8 STR,Tata,2013,100000,30000,Diesel
Maruti Suzuki Swift Dzire Tour LXi,Maruti,2014,315000,44000,Petrol
Skoda Octavia Classic 1.9 TDI MT,Skoda,2006,114990,65000,Diesel
Maruti Suzuki Omni LPG BS IV,Maruti,2012,120000,160000,LPG
Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel
Tata Sumo Gold EX BS IV,Tata,2012,210000,75000,Diesel
Hyundai Verna 1.6 CRDI SX,Hyundai,2018,855000,42000,Diesel
Tata Sumo Gold EX BS IV,Tata,2012,210000,75000,Diesel
Mahindra Scorpio 2.6 CRDe,Mahindra,2007,260000,56000,Diesel
Maruti Suzuki Zen LXi BS III,Maruti,2002,95000,10544,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,255000,64000,Petrol
Mahindra Scorpio SLX 2.6 Turbo 8 Str,Mahindra,2008,300000,70000,Diesel
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000,25000,Petrol
Hyundai Elite i20 Sportz 1.2,Hyundai,2017,550000,15000,Petrol
Ford Ikon 1.6 Nxt,Ford,2003,60000,50000,Petrol
Toyota Innova 2.5 V 7 STR,Toyota,2011,750000,147000,Diesel
Nissan Sunny XL,Nissan,2011,230000,52000,Petrol
Chevrolet Beat LT Diesel,Chevrolet,2012,130000,90001,Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2017,270000,21000,Petrol
Maruti Suzuki Swift VDi BS IV,Maruti,2012,280000,48006,Diesel
Maruti Suzuki Swift VDi BS IV,Maruti,2012,280000,48006,Diesel
Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
Toyota Innova 2.0 G4,Toyota,2012,600000,80000,Diesel
Maruti Suzuki Swift VDi ABS,Maruti,2010,190000,74000,Diesel
Hyundai Elite i20 Asta 1.2,Hyundai,2015,500000,22000,Petrol
Mahindra XUV500 W10,Mahindra,2016,1065000,41000,Diesel
Volkswagen Polo Trendline 1.5L D,Volkswagen,2015,350000,25000,Diesel
Toyota Etios Liva Diesel,Toyota,2012,350000,85000,Diesel
Mahindra TUV300 T4 Plus,Mahindra,2016,540000,29500,Diesel
Hyundai Elite i20 Asta 1.2,Hyundai,2015,470000,30000,Petrol
Hyundai Santro Xing GLS,Hyundai,2014,179000,57000,Petrol
Maruti Suzuki Zen LXi BS III,Maruti,2003,48000,60000,Petrol
Maruti Suzuki Ciaz ZXi Plus RS,Maruti,2016,650000,50000,Petrol
Hyundai Eon Era Plus,Hyundai,2013,190000,39700,Petrol
Hyundai Elantra 1.8 S,Hyundai,2012,500000,65000,Petrol
Maruti Suzuki Swift VDi,Maruti,2010,270000,67000,Diesel
Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2008,125000,46000,Petrol
Hyundai Eon Era Plus,Hyundai,2012,188000,38000,Petrol
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2016,380000,27000,Petrol
Hyundai Verna Fluidic New,Hyundai,2011,365000,43000,Diesel
Ford EcoSport Trend 1.5L Ti VCT,Ford,2014,465000,47000,Petrol
Hyundai i20 Magna,Hyundai,2011,240000,42000,Petrol
Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,Diesel
Tata Indica eV2 LS,Tata,2015,140000,60105,Diesel
Jaguar XF 2.2 Diesel Luxury,Jaguar,2013,2190000,29000,Diesel
Audi Q5 2.0 TDI quattro Premium Plus,Audi,2014,2390000,34000,Diesel
BMW 3 Series 320d Sedan,BMW,2011,1075000,35000,Diesel
Maruti Suzuki Swift ZXi 1.2 BS IV,Maruti,2015,475000,22000,Petrol
BMW X1 sDrive20d,BMW,2012,1025000,41000,Diesel
Maruti Suzuki S Cross Sigma 1.3,Maruti,2016,615000,21000,Diesel
Maruti Suzuki Ertiga LDi,Maruti,2013,475000,48000,Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti,2016,270000,38000,Petrol
Honda City SV,Honda,2014,475000,34000,Diesel
Volkswagen Vento Comfortline Petrol,Volkswagen,2011,240000,45933,Petrol
Honda City 1.5 EXi New,Honda,2005,120000,68000,Petrol
Audi A4 2.0 TDI 177bhp Premium,Audi,2016,1900000,44000,Diesel
Mahindra KUV100,Mahindra,2017,360000,35000,Diesel
Tata Zest XE 75 PS Diesel,Tata,2018,450000,102563,Diesel
Mahindra XUV500 W8,Mahindra,2015,900000,28600,Diesel
Maruti Suzuki Swift Dzire Tour VDi,Maruti,2017,650000,41800,Diesel
Tata Sumo Gold LX BS IV,Tata,2014,275000,116000,Diesel
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2009,210000,59000,Petrol
Mahindra Scorpio 2.6 SLX,Mahindra,2004,175000,58000,Diesel
Maruti Suzuki Omni 8 STR BS III,Maruti,2009,85000,45000,Petrol
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1490000,42590,Diesel
Renault Duster,Renault,2014,800000,7400,Diesel
Volkswagen Jetta Comfortline 1.9 TDI AT,Volkswagen,2009,450000,54500,Diesel
Maruti Suzuki Ertiga Vxi,Maruti,2012,1000000,200000,Diesel
Audi A4 2.0 TDI 177bhp Premium,Audi,2013,1510000,27000,Diesel
Volvo S80 Summum D4,Volvo,2015,1850000,42000,Diesel
Toyota Corolla Altis VL AT Petrol,Toyota,2014,790000,29000,Petrol
Mitsubishi Pajero Sport 2.5 AT,Mitsubishi,2015,1725000,37000,Diesel
Chevrolet Beat LT Petrol,Chevrolet,2012,135000,36000,Petrol
BMW X1,BMW,2011,1000000,34000,Diesel
Datsun Redi GO S,Datsun,2018,299999,7000,Petrol
Mercedes Benz C Class C 220 CDI Avantgarde,Mercedes,2009,1225000,76000,Diesel
Mahindra Scorpio SLX,Mahindra,2004,175000,60000,Diesel
Volkswagen Vento Comfortline Diesel,Volkswagen,2011,200000,95000,Diesel
Tata Indigo CS GLS,Tata,2017,270000,50000,Diesel
Ford Figo Petrol Titanium,Ford,2019,525000,0,Petrol
Honda City ZX GXi,Honda,2006,180000,50000,Petrol
Maruti Suzuki Wagon R Duo Lxi,Maruti,2008,140000,68000,Petrol
Ford EcoSport Trend 1.5L TDCi,Ford,2014,400000,16000,Petrol
Maruti Suzuki Swift Dzire VDi,Maruti,2016,499000,51000,Diesel
Maruti Suzuki Omni 8 STR BS III,Maruti,2009,85000,56000,Petrol
Maruti Suzuki Zen LX BSII,Maruti,2004,70000,100000,Petrol
Renault Duster RxL Petrol,Renault,2015,550000,36000,Petrol
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2014,370000,11523,Petrol
Maruti Suzuki Baleno Zeta 1.2,Maruti,2018,690000,1000,Petrol
Honda WR V S MT Petrol,Honda,2009,250000,60000,Petrol
Tata Indigo CS eLX BS IV,Tata,2016,110000,85000,Diesel
Renault Duster 110 PS RxL Diesel,Renault,2013,490000,38600,Diesel
Mahindra Scorpio LX BS III,Mahindra,2009,320000,95500,Diesel
Maruti Suzuki Zen LXi BS III,Maruti,2004,68000,56000,Petrol
Maruti Suzuki Wagon R LXi BS III,Maruti,2014,130000,37458,Petrol
Maruti Suzuki SX4 Celebration Diesel,Maruti,2016,970000,85960,Diesel
Audi A3 Cabriolet 40 TFSI,Audi,2015,3100000,12516,Petrol
Hyundai Eon D Lite Plus,Hyundai,2018,280000,35000,Petrol
Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2009,125000,0,Petrol
Mahindra Scorpio SLX,Mahindra,2008,285000,80000,Diesel
Hyundai Santro AE GLS Audio,Hyundai,2011,165000,45000,Petrol
Maruti Suzuki Swift Dzire Tour VDi,Maruti,2009,250000,51000,Diesel
Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel
Mahindra Xylo D2 BS IV,Mahindra,2011,390000,48000,Diesel
Hyundai Santro,Hyundai,2003,60000,51000,Petrol
Chevrolet Beat LT Diesel,Chevrolet,2015,215000,90000,Diesel
Maruti Suzuki Swift Dzire VDi,Maruti,2015,475000,43000,Diesel
Mahindra XUV500 W8,Mahindra,2015,899000,53000,Diesel
Toyota Fortuner 3.0 4x4 MT,Toyota,2013,1499000,97000,Diesel
Maruti Suzuki Alto K10 VXi,Maruti,2013,240000,20000,Petrol
Hyundai Getz GLE,Hyundai,2007,99000,55000,Petrol
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2014,260000,120000,Diesel
Hyundai Creta 1.6 SX,Hyundai,2019,1200000,0,Petrol
Hyundai Santro Xing XL AT eRLX Euro III,Hyundai,2007,115000,46000,Petrol
Hyundai Santro Xing XL eRLX Euro III,Hyundai,2009,88000,43200,Petrol
Mahindra Xylo D2 BS IV,Mahindra,2011,390000,56000,Diesel
Hyundai Santro Xing XL eRLX Euro III,Hyundai,2007,135000,42000,Petrol
Tata Indica V2 DLS BS III,Tata,2009,90000,30600,Diesel
Hyundai i10 Sportz 1.2,Hyundai,2011,220000,38000,Petrol
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2017,424999,2550,Petrol
Hyundai Santro Xing XL AT eRLX Euro III,Hyundai,2007,135000,47000,Petrol
Honda City 1.5 E MT,Honda,2005,95000,41000,Petrol
Nissan Micra XL,Nissan,2017,430000,62500,Diesel
Honda City 1.5 S Inspire,Honda,2005,115000,68000,Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2015,215000,50000,Petrol
Maruti Suzuki Wagon R LX BS III,Maruti,2004,53000,69000,Petrol
Maruti Suzuki Ertiga VDi,Maruti,2012,500000,48000,Diesel
Tata Indica eV2 eXeta eGLX,Tata,2012,85000,55000,Diesel
Maruti Suzuki Omni E 8 STR BS IV,Maruti,2013,165000,25000,Petrol
Hyundai Eon Era Plus,Hyundai,2014,200000,28400,Petrol
Hyundai Eon,Hyundai,2014,200000,28000,Petrol
Maruti Suzuki Swift LDi,Maruti,2015,425000,42000,Diesel
Hyundai Verna 1.6 CRDI SX Plus AT,Hyundai,2012,600000,29000,Diesel
Chevrolet Tavera LS B3 10 Seats BSII,Chevrolet,2005,130000,68485,Diesel
Tata Tiago Revotron XM,Tata,2018,430000,3500,Petrol
Tata Tiago Revotorq XZ,Tata,2019,568500,0,Petrol
Maruti Suzuki Zen LXi BS III,Maruti,2006,71000,32000,Petrol
Mahindra KUV100 K8 D 6 STR,Mahindra,2018,560000,8000,Diesel
Ford EcoSport Titanium 1.5 TDCi,Ford,2014,590000,34000,Diesel
Hindustan Motors Ambassador Classic Mark 4 – Befo,Hindustan,1995,750000,37000,Petrol
Ford Fusion 1.4 TDCi Diesel,Ford,2007,125000,85455,Diesel
Hyundai Santro Xing XL AT eRLX Euro III,Hyundai,2007,135000,46000,Petrol
Hyundai Santro,Hyundai,2002,60000,47000,Petrol
Fiat Linea Emotion 1.4 L T Jet Petrol,Fiat,2009,120000,64000,Petrol
Ford Ikon 1.3 Flair Josh 100,Ford,2008,95000,46000,Petrol
Maruti Suzuki Omni E 8 STR BS IV,Maruti,2017,240000,8000,Petrol
Tata Indica V2 LS,Tata,2012,115000,64000,Diesel
Mahindra Scorpio S4,Mahindra,2015,795000,63000,Diesel
Hyundai Santro Xing XL eRLX Euro III,Hyundai,2007,55000,65000,Petrol
Mahindra Xylo D2,Mahindra,2009,300000,62000,Diesel
Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2014,320000,41000,Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2015,265000,14000,Petrol
Toyota Corolla,Toyota,2006,160000,40000,Petrol
Hyundai Eon Magna,Hyundai,2017,300000,1600,Petrol
Tata Sumo Grande MKII GX,Tata,2010,130000,90000,Diesel
Maruti Suzuki Swift VDi,Maruti,2011,250000,58000,Diesel
Volkswagen Polo Highline1.2L P,Volkswagen,2013,380000,27000,Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2003,42000,60000,Petrol
Tata Tiago Revotron XZ,Tata,2017,400000,31000,Petrol
Maruti Suzuki Swift LDi,Maruti,2009,120000,90000,Diesel
Maruti Suzuki Swift VDi,Maruti,2009,120000,90000,Diesel
Tata Indigo eCS,Tata,2016,130000,150000,Diesel
Chevrolet Beat LS Diesel,Chevrolet,2014,189000,31000,Diesel
Mahindra Xylo E8 BS IV,Mahindra,2011,365000,43000,Diesel
Hyundai Eon D Lite Plus,Hyundai,2013,170000,20000,Petrol
Tata Sumo Gold FX BSIII,Tata,2013,215000,100000,Petrol
Tata Nano,Tata,2013,60000,7000,Petrol
Hyundai Elite i20,Hyundai,2017,599999,31000,Petrol
Hyundai i10 Magna 1.2 Kappa2,Hyundai,2009,400000,33000,Petrol
Hyundai Creta,Hyundai,2016,900000,60000,Diesel
Volkswagen Polo,Volkswagen,2013,299999,48000,Diesel
Maruti Suzuki Dzire,Maruti,2014,374999,33000,Petrol
Tata Bolt XM Petrol,Tata,2015,600000,15000,Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2005,70000,47000,Petrol
Maruti Suzuki Alto,Maruti,2005,100000,40000,Petrol
Maruti Suzuki Ritz,Maruti,2010,150000,38000,Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2017,225000,12500,Petrol
Maruti Suzuki Dzire,Maruti,2009,210000,42000,Petrol
Hyundai i20 Asta,Hyundai,2014,425000,31000,Petrol
Maruti Suzuki Swift Select Variant,Maruti,2008,162000,60000,Diesel
Tata Indica V2 DLX BS III,Tata,2005,60000,80000,Diesel
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,Mahindra,2014,650000,77000,Diesel
Toyota Innova 2.5 E 8 STR,Toyota,2012,750000,75000,Diesel
Mahindra Xylo E8,Mahindra,2010,375000,40000,Diesel
Hyundai i20 Magna 1.2,Hyundai,2011,230000,47000,Petrol
Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol
Mahindra KUV100,Mahindra,2016,380000,26500,Petrol
Mahindra KUV100 K8 6 STR,Mahindra,2019,560000,2875,Petrol
Datsun Go Plus,Datsun,2016,285000,13900,Petrol
